feature,shap_value,absolute_shap
sensor_11,0.07303052606293932,0.07303052606293932
sensor_2,-0.036148733776644806,0.036148733776644806
sensor_13,0.028116309255710802,0.028116309255710802
sensor_12,-0.02459617438726127,0.02459617438726127
sensor_7,0.018670347658917306,0.018670347658917306
sensor_3,0.018387758749304338,0.018387758749304338
sensor_15,-0.018248094276350456,0.018248094276350456
sensor_20,-0.014280222868546844,0.014280222868546844
sensor_14,-0.011114274534793366,0.011114274534793366
sensor_4,-0.007804613461485132,0.007804613461485132
sensor_17,0.0070286047761328515,0.0070286047761328515
sensor_21,-0.005145708101917989,0.005145708101917989
sensor_9,0.0010009586952946848,0.0010009586952946848
sensor_8,0.0009290808637160807,0.0009290808637160807
sensor_6,2.4975718541930814e-10,2.4975718541930814e-10
sensor_5,0.0,0.0
sensor_1,0.0,0.0
sensor_10,0.0,0.0
sensor_16,0.0,0.0
sensor_19,0.0,0.0
sensor_18,0.0,0.0
