feature,mean_abs_shap
sensor_12,0.11942634143671967
sensor_8,0.10700872067880482
sensor_11,0.09197538391460512
sensor_13,0.09169249090044104
sensor_7,0.07247220445082349
sensor_2,0.06371975239555923
sensor_3,0.059768440093696425
sensor_20,0.054516936736745264
sensor_4,0.05202010688055452
sensor_15,0.051394491960909366
sensor_21,0.04600332525824797
sensor_17,0.03674869590438959
sensor_14,0.030268546364027316
sensor_9,0.02164972518767172
sensor_1,0.0
sensor_5,0.0
sensor_6,0.0
sensor_10,0.0
sensor_16,0.0
sensor_19,0.0
sensor_18,0.0
